ano_criacao_processo;numero_processo_original_formatado;numero_processo_formatado;numero_item_processo;situacao_compra_item_processo;codigo_elemento_item_despesa;nome_elemento_item_despesa;codigo_item_material_servico_numerico;item_material_servico;quantidade_item_pedido;valor_unitario_referencia_item_processo;valor_unitario_homologado_item_processo;valor_total_referencia_item_processo;valor_total_homologado
2026;0501044 000120/2023;0501044 000072/2026;1;Com Fornecedor Vencedor;3010;MATERIAL MEDICO E HOSPITALAR;265268;"FIO GUIA - MATERIA PRIMA: EM NITINOL HIDROFILICO; FINALIDADE: COM PONTA ANGULADA E RADIOPACA EM PLATINA; MEDIDAS: COM 180CM COMPRIMENTO APROX. E DIAMETRO DE 0,035"";";1;185,0;185,0;185,0;185,0
2026;0501044 000120/2023;0501044 000072/2026;2;Com Fornecedor Vencedor;3010;MATERIAL MEDICO E HOSPITALAR;278289;"CATETER - IDENTIFICACAO: ANGIOGRAFICO SIMMONS CEREBRAL CURVO SIM2; TAMANHO/NUMERO: 5FR; MATERIA-PRIMA: MALHA EM ACO;";1;101,0;101,0;101,0;101,0
2026;0501044 000120/2023;0501044 000072/2026;3;Com Fornecedor Vencedor;3010;MATERIAL MEDICO E HOSPITALAR;997587;"CONJUNTO INTRODUTOR - IDENTIFICACAO: PARA INTERVENCAO ENDOVASCULAR 6FR; MATERIA-PRIMA: NYLON; VALVULA: COM VALVULA HEMOSTATICA, DILATADOR E AGULHA PUNCAO;";1;115,0;115,0;460,0;460,0
2026;1259975 000012/2026;1259975 000020/2026;1;Com Fornecedor Vencedor;3961;SERVICOS DE CONSERVACAO E LIMPEZA;13048;SERVICOS DE LIMPEZA E TRATAMENTO DE CAIXAS DAGUA E RESERVATORIOS.;1;1600,0;860,0;1600,0;860,0
2026;1259975 000017/2026;1259975 000022/2026;1;Com Fornecedor Vencedor;3016;MATERIAL DE INFORMATICA;1633406;"DISCO RIGIDO (HD) INTERNO - TAMANHO: 3,5 POLEGADAS; CAPACIDADE: 8 TB; INTERFACE: SATA 3; ROTACAO POR MINUTO: 7200 RPM;";1;2650,0;2000,0;10600,0;8000,0
2026;1451044 000241/2023;1451044 000087/2026;1;Com Fornecedor Vencedor;3017;ARTIGOS PARA LIMPEZA E HIGIENE;1695118;"SACO DE LIXO -  TIPO PLASTICO: RECICLADO; CAPACIDADE NOMINAL: 100 L - 20 KG; COR: PRETO; DIMENSOES (L X A): 75 CM X 105 CM; APRESENTACAO: EMBALAGEM 100 UN;";1;30,95;30,95;34664,0;34664,0
2026;2012015 000136/2023;2012015 000038/2026;1;Com Fornecedor Vencedor;3921;REPAROS DE EQUIPAMENTOS, INSTALACOES E MATERIAL PERMANENTE;2674;MANUTENCAO, REPARO, CONSERVACAO E ADAPTACAO EM EQUIPAMENTOS E INSTRUMENTOS MEDICOS;1;388030,52;388030,52;388030,52;388030,52
2026;2012015 000225/2021;2012015 000039/2026;1;Com Fornecedor Vencedor;3921;REPAROS DE EQUIPAMENTOS, INSTALACOES E MATERIAL PERMANENTE;2674;MANUTENCAO, REPARO, CONSERVACAO E ADAPTACAO EM EQUIPAMENTOS E INSTRUMENTOS MEDICOS;1;224201,08;224201,08;224201,08;224201,08
2026;;0250457 000003/2026;1;Com Fornecedor Vencedor;3701;LOCACAO DE SERVICOS DE CONSERVACAO E LIMPEZA;4561;SERVICOS DE CONSERVACAO E LIMPEZA PREDIAL;1;172694,4;125000,0;172694,4;125000,0
2026;;0250457 000004/2026;1;Com Fornecedor Vencedor;3955;EVENTOS DE COMUNICACAO INSTITUCIONAL;22446;SERVICOS DE ORGANIZACAO,EXECUCAO DE EVENTOS E ATIVIDADES CORRELATAS OU INERENTES;1;299820,94;249500,0;299820,94;249500,0
2026;;0250457 000005/2026;1;Com Fornecedor Vencedor;3921;REPAROS DE EQUIPAMENTOS, INSTALACOES E MATERIAL PERMANENTE;43346;MANUTENCAO PREVENTIVA E CORRETIVA EM ELEVADOR E PLATAFORMA  ELEVATORIA;1;5640,0;2988,0;5640,0;2988,0
2026;;0250457 000008/2026;1;Com Fornecedor Vencedor;3922;REPAROS DE BENS IMOVEIS;25763;SERVICO DE INFRAESTRUTURA DE CABEAMENTO PARA REDES FISICA,  LOGICA, ELETRICA E OUTRAS;1;25220,0;19000,0;25220,0;19000,0
2026;;0250457 000009/2026;1;Deserto;3022;FERRAMENTAS, FERRAGENS E UTENSILIOS;1769278;"CORDA - MATERIA-PRIMA: 55% ALGODAO + 45% VISCOSE; DIAMETRO: 12 MM; TIPO: TRANCADA;";1;3,6205;0,0;181,03;0,0
2026;;0250457 000009/2026;2;Deserto;3022;FERRAMENTAS, FERRAGENS E UTENSILIOS;1439979;"CORTA-VERGALHOES - MATERIA-PRIMA: ACO; MEDIDAS: 36 POLEGADAS;";1;215,995;0,0;431,99;0,0
2026;;0250457 000009/2026;3;Deserto;3022;FERRAMENTAS, FERRAGENS E UTENSILIOS;48437;"PE DE CABRA - MATERIA PRIMA: FERRO FUNDIDO; MEDIDAS: 5/8 POL(DIAMETRO) X 60CM (COMPRIMENTO);";1;55,195;0,0;110,39;0,0
2026;;0250457 000009/2026;4;Deserto;3023;MATERIAL PARA MANUTENCAO DE VEICULOS AUTOMOTORES;1369598;"CINTA USO VEICULAR - IDENTIFICACAO: CINTA DE REBOQUE; MARCA/MODELO: DIVERSOS;";1;293,8966;0,0;1175,59;0,0
2026;;0250457 000009/2026;5;Deserto;3919;LOCACAO DE MAQUINAS E EQUIPAMENTOS;38946;LOCACAO DE MOBILIARIO PARA EVENTOS;1;5900,0;0,0;0,0;0,0
2026;;0250457 000009/2026;6;Deserto;3955;EVENTOS DE COMUNICACAO INSTITUCIONAL;22446;SERVICOS DE ORGANIZACAO,EXECUCAO DE EVENTOS E ATIVIDADES CORRELATAS OU INERENTES;1;19040,0;0,0;0,0;0,0
2026;;0250457 000009/2026;7;Deserto;3955;EVENTOS DE COMUNICACAO INSTITUCIONAL;22446;SERVICOS DE ORGANIZACAO,EXECUCAO DE EVENTOS E ATIVIDADES CORRELATAS OU INERENTES;1;1650,0;0,0;0,0;0,0
2026;;0250457 000009/2026;8;Deserto;3955;EVENTOS DE COMUNICACAO INSTITUCIONAL;22446;SERVICOS DE ORGANIZACAO,EXECUCAO DE EVENTOS E ATIVIDADES CORRELATAS OU INERENTES;1;1275,0;0,0;0,0;0,0
2026;;0250457 000009/2026;9;Deserto;3005;MATERIAL PARA ESCRITORIO;22942;"PAPEL VERGE - GRAMATURA: 180 G/M QUADRADO; MEDIDAS: 210 X 297MM; COR: MARFIM;";1;42,54;0,0;680,64;0,0
2026;;0250457 000009/2026;10;Deserto;3955;EVENTOS DE COMUNICACAO INSTITUCIONAL;22446;SERVICOS DE ORGANIZACAO,EXECUCAO DE EVENTOS E ATIVIDADES CORRELATAS OU INERENTES;1;2342,3333;0,0;0,0;0,0
2026;;0250457 000009/2026;11;Deserto;3025;MATERIAL DE SEGURANCA, APETRECHOS OPERACIONAIS E POLICIAIS;1772724;"MUNICAO PARA ARMAS - IDENTIFICACAO: TREINAMENTO, BBS 0,25G PARA AIRSOFT; CALIBRE: 6 MM; CARGA: SEM CARGA; ESTOJO: SEM ESTOJO;";1;58,6666;0,0;762,67;0,0
2026;;0250457 000009/2026;12;Com Fornecedor Vencedor;3955;EVENTOS DE COMUNICACAO INSTITUCIONAL;22446;SERVICOS DE ORGANIZACAO,EXECUCAO DE EVENTOS E ATIVIDADES CORRELATAS OU INERENTES;1;11139,75;24000,0;11139,75;24000,0
