ano_criacao_pedido;procedimento_contratacao_grupo;procedimento_contratacao_detalhamento_1;procedimento_contratacao_especializacao;codigo_orgao_entidade_compra;nome_orgao_entidade_compra;numero_processo_original_formatado;numero_processo_formatado;data_criacao_pedido;data_licitacao;numero_contrato;indicador_termo_de_contrato;situacao_processo;item_material_servico;situacao_compra_item_processo;criterio_julgamento;objeto_processo;nome_empresarial_nome_fornecedor;cnpj_cpf_fornecedor_formatado;numero_parecer_juridico;data_parecer_juridico;edital_retificacao_arquivos;contrato_termoaditivo_arquivos;valor_total_referencia_item_processo;valor_total_homologado;valor_total_atualizado
2026;Bens e serviços - Lei nº 13.303/16;Procedimento das Estatais;Procedimento das Estatais - Procedimento das Estatais - Eletrônico;5130;INSTITUTO DE DESENVOLVIMENTO INTEGRADO DE MG;;5131001 000001/2026;2026-01-15;;0;;Concluído;ASSINATURA MENSAL DE SERVICO TELEFONIA MOVEL, COM COMODATO DO APARELHO CELULAR;Fracassado;Por lote;Contratação do serviço de telefonia móvel corporativa, com fornecimento de linhas e aparelhos móveis em regime de comodato.;INEXISTENTE;;;;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=654172;;0,0;0,0;0,0
2026;Bens e serviços - Lei nº 13.303/16;Procedimento das Estatais;Procedimento das Estatais - Procedimento das Estatais - Eletrônico;5130;INSTITUTO DE DESENVOLVIMENTO INTEGRADO DE MG;;5131001 000004/2026;2026-03-31;;0;;Concluído;SUBSCRICAO DE LICENCA DE SOFTWARE  OFFICE 365 - PLANO E1, POR USUARIO, CLOUD SOLUTION PROVIDER.;Fracassado;Por lote;Serviços de data center (lote 1) e de correio eletrônico e produtividade em nuvem (lote 2).;INEXISTENTE;;;;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=664504;;0,0;0,0;0,0
2026;Bens e serviços - Lei nº 14.133/21;Concorrência;Concorrência - Concorrência presencial;1300;SECRET. DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;;1301022 000002/2026;2026-01-20;;9518812;SIM;Concluído;CONCESSAO DA EXECUCAO DAS OBRAS,DA MANUTENCAO E DOS SERVICOSNAO PEDAGOGICOS DAS UNIDADES DE ENSINO PUBLICO MINEIRAS;Com Fornecedor Vencedor;Por item;concessão administrativa dos serviços de reforma, conservação, manutenção, gestão e operação dos serviços não pedagógicos de 95  unidades educacionais da rede pública de ensino mineira.;IG4 BTG PACTUAL HEALTH INFRA FIP MULTIESTRATEGIA RESPONSABILIDADE LIMITADA;51.754.357/0001-04;16782,0;2026-01-23;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=655353;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=227253;7398067571,52;6705000000,0;6705000000,0
2026;Bens e serviços - Lei nº 14.133/21;Dispensa de Licitação;Dispensa de Licitação - Aquisição de bens ou serviços que envolvam alta complexidade tecnológica e d;1190;SECRETARIA DE ESTADO DE FAZENDA DE MINAS GERAIS;;1191001 000016/2026;2026-03-04;;9513282;SIM;Concluído;SUBSCRICAO DE LICENCA DE SOFTWARE ARBOR ATLAS INTELLIGENCE FEED;Com Fornecedor Vencedor;Por lote;Suporte técnico e manutenção para solução de segurança do tipo appliance, com a funcionalidade anti DDoS - Distributed Denial of Service, solução de firewall Subscrição de Arbor Atlas Inteligence Feed;PTLS SERVICOS DE TECNOLOGIA E ASSESSORIA TECNICA LTDA;09.162.855/0005-17;149,0;2026-05-07;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=222302;67896,96;67896,96;67896,96
2026;Bens e serviços - Lei nº 14.133/21;Dispensa de Licitação;Dispensa de Licitação - Aquisição de bens ou serviços que envolvam alta complexidade tecnológica e d;1190;SECRETARIA DE ESTADO DE FAZENDA DE MINAS GERAIS;;1191001 000016/2026;2026-03-04;;9513282;SIM;Concluído;SUPORTE E MANUTENCAO DE PLACA DE REDE DE FIBRA OPTICA;Com Fornecedor Vencedor;Por lote;Suporte técnico e manutenção para solução de segurança do tipo appliance, com a funcionalidade anti DDoS - Distributed Denial of Service, solução de firewall Subscrição de Arbor Atlas Inteligence Feed;PTLS SERVICOS DE TECNOLOGIA E ASSESSORIA TECNICA LTDA;09.162.855/0005-17;149,0;2026-05-07;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=222302;16368,0;16368,0;16368,0
2026;Bens e serviços - Lei nº 14.133/21;Dispensa de Licitação;Dispensa de Licitação - Aquisição de bens ou serviços que envolvam alta complexidade tecnológica e d;1190;SECRETARIA DE ESTADO DE FAZENDA DE MINAS GERAIS;;1191001 000016/2026;2026-03-04;;9513282;SIM;Concluído;SUPORTE E MANUTENCAO PARA SOLUCAO DE SEGURANCA DO TIPO APPLIANCE, COM A FUNCIONALIDADE ANTI DDOS;Com Fornecedor Vencedor;Por lote;Suporte técnico e manutenção para solução de segurança do tipo appliance, com a funcionalidade anti DDoS - Distributed Denial of Service, solução de firewall Subscrição de Arbor Atlas Inteligence Feed;PTLS SERVICOS DE TECNOLOGIA E ASSESSORIA TECNICA LTDA;09.162.855/0005-17;149,0;2026-05-07;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=222302;109120,2;109120,2;109120,2
2026;Bens e serviços - Lei nº 14.133/21;Dispensa de Licitação;Dispensa de Licitação - Aquisição de bens produzidos ou serviços prestados por órgão ou entidade que;1080;ADVOCACIA-GERAL DO ESTADO DE MINAS GERAIS;;1081017 000027/2025;2026-04-08;;9460071;SIM;Concluído;ACESSO VPN LOCAL (VPN-L) - REDE DE CONEXAO SEGURA;Com Fornecedor Vencedor;Por lote;Prestação de Serviços de Informática a serem prestados pela PRODEMGE, abarcando IaaS,  PaaS,  acesso VPN, WAF, suporte técnico a ambientes de TIC e Integ.de ambiente operacional de TI multicloud.;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;16.636.540/0001-04;6667,0;2025-04-22;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=194812;0,0;0,0;1657,0
2026;Bens e serviços - Lei nº 14.133/21;Dispensa de Licitação;Dispensa de Licitação - Aquisição de bens produzidos ou serviços prestados por órgão ou entidade que;1080;ADVOCACIA-GERAL DO ESTADO DE MINAS GERAIS;;1081017 000027/2025;2026-04-08;;9460071;SIM;Concluído;FIREWALL DE APLICACAO DE WEB - HITS;Com Fornecedor Vencedor;Por lote;Prestação de Serviços de Informática a serem prestados pela PRODEMGE, abarcando IaaS,  PaaS,  acesso VPN, WAF, suporte técnico a ambientes de TIC e Integ.de ambiente operacional de TI multicloud.;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;16.636.540/0001-04;6667,0;2025-04-22;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=194812;0,0;0,0;11200,0
2026;Bens e serviços - Lei nº 14.133/21;Dispensa de Licitação;Dispensa de Licitação - Aquisição de bens produzidos ou serviços prestados por órgão ou entidade que;1080;ADVOCACIA-GERAL DO ESTADO DE MINAS GERAIS;;1081017 000027/2025;2026-04-08;;9460071;SIM;Concluído;FIREWALL DE APLICACAO DE WEB - WAF ;Com Fornecedor Vencedor;Por lote;Prestação de Serviços de Informática a serem prestados pela PRODEMGE, abarcando IaaS,  PaaS,  acesso VPN, WAF, suporte técnico a ambientes de TIC e Integ.de ambiente operacional de TI multicloud.;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;16.636.540/0001-04;6667,0;2025-04-22;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=194812;0,0;0,0;860,0
2026;Bens e serviços - Lei nº 14.133/21;Dispensa de Licitação;Dispensa de Licitação - Aquisição de bens produzidos ou serviços prestados por órgão ou entidade que;1080;ADVOCACIA-GERAL DO ESTADO DE MINAS GERAIS;;1081017 000027/2025;2026-04-08;;9460071;SIM;Concluído;INTEGRACAO DE AMBIENTE OPERACIONAL DE TI MULTICLOUD;Com Fornecedor Vencedor;Por lote;Prestação de Serviços de Informática a serem prestados pela PRODEMGE, abarcando IaaS,  PaaS,  acesso VPN, WAF, suporte técnico a ambientes de TIC e Integ.de ambiente operacional de TI multicloud.;COMPANHIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MINAS GERAIS-PRODEMGE;16.636.540/0001-04;6667,0;2025-04-22;;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=194812;0,0;0,0;47550,0
